Filename;ActivityName;Location;ReferenceProduct
4ce9469e-d238-443d-a169-fbbb899c20a7_80eda5b6-76c9-41f1-9abc-de1d06482d7a.spold;market for silicon, solar grade;GLO;silicon, solar grade
4cedf173-84aa-4c26-9a39-904860e1e2ac_9c67682b-ff8a-4de9-b491-44ee73760ab0.spold;paper machine production;RER;paper machine
4cf51f55-b748-48b4-a574-8d955f19d0cf_cce0394a-7dae-4a38-82ae-c32272b806b8.spold;fava bean seed production, for sowing;RoW;fava bean seed, for sowing
4cf55267-95d8-5884-bfc3-e9992ccca2c6_63bf19bc-8cbc-4d14-906e-abfa110dbb5f.spold;market for sulfidic tailings, from gold mine operation;AR;sulfidic tailings, from gold mine operation
4cf5c6f9-927e-47c8-8533-d38949cf0b65_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc.spold;treatment of waste brick, recycling;RoW;waste brick
4cf793b5-6112-4bf5-bada-d84bd7967ace_6b10e00e-917b-4db0-b05f-c8601965c50a.spold;market for heat and power co-generation unit, 160kW electrical, components for heat only;GLO;heat and power co-generation unit, 160kW electrical, components for heat only
4cf98585-37f8-4db6-ab91-e5473203be4d_6296905b-1bc0-4b4d-99cd-d768ef341a6c.spold;treatment of high level radioactive waste for final repository;RoW;high level radioactive waste for final repository
4cf9d8a5-12da-456f-8cf3-31ede96bcf14_931288b5-8b40-4393-8421-f715faf39712.spold;paper production, woodfree, coated, at integrated mill;RoW;paper, woodfree, coated
4cfd5fa7-4dba-466f-8298-9c5f16232ba1_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;CA-NF;electricity, high voltage
4cff1552-5791-4415-83af-d6fcccaf4584_4cfc5345-42a3-4831-bdb4-ea842a645503.spold;market for plywood, for outdoor use;RoW;plywood, for outdoor use
4cfffad9-ac63-4f17-9d2c-fb2cd38d50e4_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, onshore;CN-FJ;electricity, high voltage
4d00a4b8-0022-4635-b5ac-5f776b3a8b2c_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;NL;electricity, high voltage
4d00a4b8-0022-4635-b5ac-5f776b3a8b2c_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;NL;heat, district or industrial, other than natural gas
4d082200-b299-4384-a029-7e13a3fa9806_4ded4b10-8c5a-41bf-9098-0194fc46b639.spold;market for machine operation, diesel, < 18.64 kW, low load factor;GLO;machine operation, diesel, < 18.64 kW, low load factor
4d0b0583-8134-4702-915a-9ef5518b3560_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;CN-HU;electricity, high voltage
4d0c6cc9-caf9-46e4-83db-30837430ea26_6c8d3210-303e-4897-b8c0-2258cb6552f2.spold;yarn production, cotton, ring spinning, for knitting;GLO;yarn, cotton
4d0ce89a-e7d8-4589-930e-b829c8910025_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;land use change, annual crop;RU;land use change, annual crop
4d136b0c-3a4d-4639-b2da-63524f0178ad_b1f74287-042b-4171-b90c-b1eb5739f30d.spold;concrete production 35MPa;ZA;concrete, 35MPa
4d1d4e1d-fb6d-4d08-b8af-0ea90554b224_ffcb8cbb-77ab-4f87-8a94-87ca5b8ea79e.spold;ethanol production from potatoes;RoW;ethanol, without water, in 95% solution state, from fermentation
4d1fef5f-62b1-487d-b3f2-07c8ca1a3a6b_c8bd4d24-6997-490f-9239-85d32ffcca22.spold;chickpea production;RoW;chickpea
4d21ae44-cb14-4ebe-9c08-ed1e218772bd_51f81140-93df-4b38-83f7-de265d88cd76.spold;market for cyclohexanone;RER;cyclohexanone
4d2935c1-7a5b-4da2-9824-963e0da1513b_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from BG;TR;electricity, high voltage
4d2a891d-d1ab-4777-9a32-d5a56e763bda_1c48620b-9172-5e85-90ae-e2a0b73dbf6f.spold;market for mulberry leaves;GLO;mulberry leaves
4d2b2319-2778-42eb-b676-48125b7e53f3_fa11f755-b0fc-4b50-b3cc-6acde5908f28.spold;market for adhesive, for metal;RoW;adhesive, for metal
4d302ea9-4ee5-4644-9333-c2a6391b10d2_5deae761-b26c-4c35-98f8-bacc517cebbb.spold;metallization paste production, front side;RoW;metallization paste, front side
4d3470cb-35e7-4df5-a5b0-dce29a0d6c9c_57a23d61-cc04-4414-ba30-4a15b785399a.spold;market for air compressor, screw-type compressor, 4kW;GLO;air compressor, screw-type compressor, 4kW
4d3c05e8-b451-47c4-89c0-85e7f9e2e600_a09f846f-9ebe-4c3e-aad2-dc411a40a27d.spold;maintenance, solid oxide fuel cell 125kW electrical, future;RoW;maintenance, solid oxide fuel cell, 125kW electrical, future
4d44acfd-aa7a-5600-8c37-f47c218683f4_69b3d58f-ddde-59c4-a78d-2ededd641aab.spold;clear-cutting, primary forest to arable land, forest, intensive;BR-BA;land tenure, arable land, measured as carbon net primary productivity, forest, intensive
4d4b4d8b-e7de-47b1-9fd4-0a109907eeac_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;ES;electricity, high voltage
4d4f90b5-1524-4927-bcb6-a5a616f07e93_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;heat production, mixed logs, at wood heater 6kW;CH;heat, central or small-scale, other than natural gas
4d537437-a42a-4745-8ad9-89883144fa93_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;ZA;electricity, medium voltage
4d5536ce-6bd5-458d-8599-807da0849b42_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, alpine region;IN-TN;electricity, high voltage
4d55769f-2300-47d7-9672-5f2537f7f1fd_736906f7-164e-4155-9fb4-894177303917.spold;market for inductor, low value multilayer chip;GLO;inductor, low value multilayer chip
4d59900a-f624-46af-8b18-c2e38954d686_5784188e-2165-4f47-9926-06735ab10e2d.spold;market for machine operation, diesel, >= 74.57, underground mining;GLO;machine operation, diesel, >= 74.57, underground mining
4d5d0683-bf5f-4f5b-9a67-8ae1484e70f6_f869849f-8c20-4097-9819-c8f2e4515955.spold;market for ventilation control and wiring, decentralized unit;GLO;ventilation control and wiring, decentralized unit
4d6de2cb-060a-43ea-b7c9-8cd67bb53e61_7fe99768-d571-4bc2-a272-7df585bd0d48.spold;hardwood forestry, birch, sustainable forest management;SE;wood chips, wet, measured as dry mass
4d6f45a3-ce0e-466e-9775-32b05c73ef2f_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from UA;RO;electricity, high voltage
4d74ea67-c2a1-4b29-a1e7-eae35d235a53_d16b5d3f-b5e4-45b6-9a04-23cde05220c0.spold;market for nylon 6;RER;nylon 6
4d757b13-86c3-4c3a-800e-42f3649cc220_d7f544d6-c372-4fc3-81ae-44aa3614c9fc.spold;market for straw;RER;straw
4d759c4c-69cd-4d6e-a771-e237fed7b315_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;MM;electricity, high voltage
4d7bc847-b75d-4756-b26f-c2d1861bd7c0_4f312355-ac65-4635-8fb2-006dba64ce60.spold;treatment of scrap steel, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed
4d7bc847-b75d-4756-b26f-c2d1861bd7c0_d1a4a803-c563-4740-84cf-3c21a488bd74.spold;treatment of scrap steel, municipal incineration with fly ash extraction;CH;scrap steel
4d7d5000-6419-4cd9-aadb-0e2803d03f5d_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, oil;FI;electricity, high voltage
4d7d5000-6419-4cd9-aadb-0e2803d03f5d_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, oil;FI;heat, district or industrial, other than natural gas
4d87d12a-335b-46c4-9e90-abfa11e9fc69_7c3dbbb9-cc2d-43e8-acf9-abfa115d2ae5.spold;treatment of sulfidic tailings, from copper mine operation, tailings impoundment;PE;sulfidic tailings, from copper mine operation
4d87df4b-972b-48d9-8157-f228c1453c6d_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;NPCC, US only;electricity, high voltage
4d87df4b-972b-48d9-8157-f228c1453c6d_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;NPCC, US only;heat, district or industrial, other than natural gas
4d88e29c-1d7b-5f10-bbd3-528aed69d5f3_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;clear-cutting, primary forest to arable land, perennial crop;BR-ES;land tenure, arable land, measured as carbon net primary productivity, perennial crop
4d8d5728-531c-474c-b8fd-1f3840c4b775_ccee034c-8b6c-40d6-ac36-4c70c4623efa.spold;market for ventilation duct, steel, 100x50 mm;GLO;ventilation duct, steel, 100x50 mm
4d915bc5-913b-45fe-92c3-d62e7a9af3e1_b0176c67-5bc0-462a-8466-4f372f446f7c.spold;market for waste polystyrene;FI;waste polystyrene
4d932352-7d0f-4ef4-8958-db92a01054f7_817fa2e4-cb4c-49bb-b52f-eac84d1053ff.spold;market for waste mineral wool, final disposal;CH;waste mineral wool, for final disposal
4d93877d-7b6a-4f88-b35a-0f31b1e4c4ef_6eb8dc11-5ac4-4538-a1f1-95463b640ea5.spold;energy and auxilliary inputs, metal working factory, with heating from hard coal;RoW;energy and auxilliary inputs, metal working factory
4d95fd3d-1c94-41f2-82e7-02c682d51b85_579049d0-3db8-4496-a234-2f61ed28a72b.spold;market for extrusion, plastic film;GLO;extrusion, plastic film
4d983a16-836b-547d-aef1-dee118788252_7c3dbbb9-cc2d-43e8-acf9-abfa115d2ae5.spold;market for sulfidic tailings, from copper mine operation;CA;sulfidic tailings, from copper mine operation
4da90fd8-5ec3-48e7-b27a-d8eda491f599_88afd721-07ec-4910-a004-fa3fecb6bf70.spold;market for waste plastic, mixture;ME;waste plastic, mixture
4da983eb-aa4e-4459-9502-74dbcdf27845_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, pressure water reactor;RFC;electricity, high voltage
4daecb26-51a7-4ad3-9390-ceac60d13207_559d5695-102a-4beb-9f7f-3db334c9b51d.spold;transport, freight, lorry 16-32 metric ton, EURO2;ZA;transport, freight, lorry 16-32 metric ton, EURO2
4db01625-df29-4516-865b-d7c6951bd011_2cd6e74e-c64c-4ed4-945b-fd2d2a4f0db6.spold;treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal;GLO;bagasse, from sweet sorghum
4db01625-df29-4516-865b-d7c6951bd011_66c93e71-f32b-4591-901c-55395db5c132.spold;treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal;GLO;electricity, high voltage
4db01625-df29-4516-865b-d7c6951bd011_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal;GLO;heat, district or industrial, other than natural gas
4db07e91-b143-419e-9b01-b1ea6893de31_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CA-NS;electricity, high voltage
4db1611d-b232-40cb-b568-67e5ff9d9e61_f4ece674-b746-4776-8887-d1439a992156.spold;market for mini CHP plant, components for electricity only;GLO;mini CHP plant, components for electricity only
4db27faa-8d05-4a51-922f-e2f36abb0735_14bf310d-069a-4d84-a98e-da3a7b1a6cde.spold;market for nuclear power plant, pressure water reactor 1000MW;GLO;nuclear power plant, pressure water reactor 1000MW
4db3ebe9-ad74-48f3-b67f-0fc0d81762e3_564fbf47-961b-4d9b-b338-7bd5ec6518bf.spold;market for spent automobile catalyst;GLO;spent automobile catalyst
4db6d005-b4c4-48dd-afbd-3b318d383e00_87967b5e-0e94-44b6-b9e0-328c747bd329.spold;market for heat and power co-generation unit, 200kW electrical, diesel SCR, components for heat only;GLO;heat and power co-generation unit, 200kW electrical, diesel SCR, components for heat only
4dbb9e7e-2d64-435b-aa7f-938acb49811c_dae141a8-7daa-4f03-a649-b85b718ac65b.spold;market for waste glass;IT;waste glass
4dbee234-b32a-4e1a-b436-69081ed1bd59_39f50029-2aae-470f-87dc-5e24405df568.spold;hydrogen fluoride production;RER;hydrogen fluoride
4dc06784-a7b9-5385-9b50-24bcf941d6fd_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;land use change, annual crop;BR-AP;land use change, annual crop
4dc87638-1c4a-4159-a022-6953fc4e148c_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, onshore;CN-TJ;electricity, high voltage
4dd3a7f4-22d0-4e10-959d-9eed7585d6c1_0ec7f55d-8bba-4887-a3e5-43100357f9af.spold;wastewater treatment facility construction, capacity 1.6E8l/year;CH;wastewater treatment facility, capacity 1.6E8l/year
4de0c408-7205-4e3f-bc8e-68af008e1f7d_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CN-SD;electricity, low voltage
4de420b9-6221-4aa2-b40d-fd8ab7a72345_019600be-f3ce-4399-9e31-19cdc087ed5f.spold;oriented strand board production;RoW;residual wood, dry
4de420b9-6221-4aa2-b40d-fd8ab7a72345_6d2c81d0-5546-4bc3-a4f4-3e88606d539d.spold;oriented strand board production;RoW;bark chips, wet, measured as dry mass
4de420b9-6221-4aa2-b40d-fd8ab7a72345_888353c6-711d-4ba3-95eb-0368b6592c66.spold;oriented strand board production;RoW;oriented strand board
4dec4225-cf16-478c-81dc-7a97c46c0b78_2581d7f7-59e3-411d-b12e-3cb653bf4e9f.spold;market for tower silo, plastic;GLO;tower silo, plastic
4dedc28e-0af8-47ec-aa17-0b9b97ee175a_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, biogas, gas engine;CA-PE;electricity, high voltage
4dedc28e-0af8-47ec-aa17-0b9b97ee175a_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;heat and power co-generation, biogas, gas engine;CA-PE;heat, central or small-scale, other than natural gas
4df72c46-00d0-4bf7-8e48-fb5d75ad237d_aaa1fb85-4e0e-426e-808a-35987bd8d486.spold;market for butane;GLO;butane
4df8a55e-ac60-4aa9-9cda-55e013c9ba20_91fa7330-6eda-4832-a45f-9ab769c8c53a.spold;lignite power plant construction;RER;lignite power plant
4dfd6653-611a-4150-a5b4-364eee9555fc_ec2e27a8-cd21-49d6-801a-1fe4593dd386.spold;market for used door, outer, wood-aluminium;GLO;used door, outer, wood-aluminium
4e01dd0b-905b-40e3-999e-0e49bb7368d5_e8df64cf-359b-4900-a713-9909ea426fa3.spold;o-chlorotoluene production;RER;o-chlorotoluene
4e036feb-dcd9-4654-b34b-71ae898c8c9d_8f817492-39ba-42a3-a710-5f85a1f26379.spold;market for fruit tree seedling, for planting;GLO;fruit tree seedling, for planting
4e0c7e5a-2021-4c1c-af81-fd03658f0188_e63aa910-8938-49f1-ac0e-abfa111b3039.spold;market for sulfidic tailings, generic;GLO;sulfidic tailings, generic
4e0ed59d-0b52-435f-85c3-0460f7b61846_86f356ee-4bfa-43cf-a82f-4799c7f7c776.spold;market for diethyl ether, without water, in 99.95% solution state;RoW;diethyl ether, without water, in 99.95% solution state
4e156e79-0ab5-464b-ae56-6e0417e8ae65_ec23da1b-e5fa-4f01-bd2c-3233fece2175.spold;market for cement, unspecified;RoW;cement, unspecified
4e160f96-bafb-455c-8c30-c622641b058e_894c4486-e821-4d6c-b99f-7e3f63d4a083.spold;market for petrol, low-sulfur;CH;petrol, low-sulfur
4e16bbda-0e33-44a7-856d-9e49da733ade_1186b5ec-21f3-490a-b913-75589c6ab500.spold;linseed seed production, for sowing;CH;linseed seed, for sowing
4e1943c4-4d45-4fbc-a468-bac5a3287bb6_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CN-GZ;electricity, high voltage
4e22bf9d-6335-4da7-bf28-c6391bc3fcc3_3a941c40-94bc-402e-90f3-218ce67b6b81.spold;market for uranium, enriched 3.0%, in fuel element for light water reactor;GLO;uranium, enriched 3.0%, in fuel element for light water reactor
4e28e826-35a6-4b38-9903-abfa111a9524_7c3dbbb9-cc2d-43e8-acf9-abfa115d2ae5.spold;treatment of sulfidic tailings, from copper mine operation, tailings impoundment;AU;sulfidic tailings, from copper mine operation
4e316664-c79c-4ac8-b589-c2e18e9b2049_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45.spold;tap water production, underground water without treatment;IN;tap water
4e319233-ca45-46c8-8de1-744efb8a2043_0ace02fa-eca5-482d-a829-c18e46a52db4.spold;transport, freight train, diesel;Europe without Switzerland;transport, freight train
4e3350c2-8668-49dd-bcec-4e955e6c45fc_f24acce7-b9ae-4df5-aa67-5863ff2a9a1c.spold;market for aircraft, passenger, long haul;GLO;aircraft, passenger, long haul
4e356a88-a683-4d9a-b5ce-0b1a614b8422_2e0e7474-61d8-4324-93aa-5df18338c53e.spold;bitumen seal production, V60;RoW;bitumen seal, V60
4e38e26f-a0c4-48cc-a858-9876586ebdc5_a4f0ee0e-89aa-4754-964c-b950034eb2a1.spold;glazing production, double, U<1.1 W/m2K;RER;glazing, double, U<1.1 W/m2K
4e38e926-73db-4276-9fb5-34d5009b292b_2669baa0-c363-4ba4-bb4d-6c7cff61d241.spold;sawnwood production, softwood, dried (u=20%), planed;RoW;sawnwood, softwood, dried (u=20%), planed
4e3dcf7d-d68c-4f00-bbd9-c6b70b53fa1d_623807b1-021b-4658-a6d8-edf65168b37f.spold;housing system construction, pig, fully-slatted floor;CH;housing system, pig, fully-slatted floor, per pig place
4e3de55d-60b8-435a-84a3-ff0e75984fa2_9219c94a-7a25-4a4c-b25d-c096fdd50d47.spold;market for waste polyvinylchloride;AT;waste polyvinylchloride
4e5b57db-f361-450c-bfd6-398ee7809cc0_c5299a8e-d4b4-409c-9826-e8ae9e37c03d.spold;market for cement, Portland;CH;cement, Portland
4e63ad7d-6f31-48e2-a891-666b8b14627c_44defed2-3dc7-4d59-b3bc-23dacf1b9140.spold;aluminium production, primary, ingot;IAI Area, Gulf Cooperation Council;aluminium, primary, ingot
4e652a03-6a1b-47d1-9acb-14edad51d106_9a7e6cdc-79c0-4872-840d-a8a2fd723189.spold;gold-silver mine operation with refinery;RoW;silver
4e652a03-6a1b-47d1-9acb-14edad51d106_d7432632-40dc-4af8-8125-cb70dd9742c5.spold;gold-silver mine operation with refinery;RoW;iron scrap, unsorted
4e652a03-6a1b-47d1-9acb-14edad51d106_e09971fb-f77e-48a3-99a8-4feba6a59bb4.spold;gold-silver mine operation with refinery;RoW;gold
4e6f5486-705a-4770-a098-c426e2e56d40_936059f1-6468-444f-a00d-fd59386943a3.spold;market for cement, alternative constituents 21-35%;Europe without Switzerland;cement, alternative constituents 21-35%
4e6fb6c1-5e34-4de6-8cac-47ad5b1fd5ae_101e55f2-2da0-528b-96fd-21687e242c1c.spold;treatment of waste polyethylene, for recycling, unsorted, sorting;Europe without Switzerland;waste polyethylene, for recycling, unsorted
4e6fb6c1-5e34-4de6-8cac-47ad5b1fd5ae_ed25f589-c6c8-56a7-a518-b01dd3e8a453.spold;treatment of waste polyethylene, for recycling, unsorted, sorting;Europe without Switzerland;waste polyethylene, for recycling, sorted
4e75a893-373a-4638-be53-6afbb25b2834_618bf4eb-bee5-4d38-8e4f-78cfebf779be.spold;market for scrap aluminium;CH;scrap aluminium
4e768aa1-71b4-40b1-b64e-0e9d727310e8_1470969d-cc06-4a55-812e-02dc367990ba.spold;market for transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, carbon dioxide, liquid refri(...)_14;GLO;transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, carbon dioxide, liquid refrigerant, freezing
4e79f7b4-0a2a-4b63-886d-8c28b1feaa6e_85086b85-ef0a-55c6-be1f-66e45e7aeaaa.spold;market for land use change, pasture, man made;BR-AC;land use change, pasture, man made
4e7b7192-6393-4115-b27c-42628a035543_e45a29f8-34d6-4aac-bf03-b8d729b0099b.spold;market for pipeline, petroleum;GLO;pipeline, petroleum
4e818473-d597-4a4d-8181-f378b2fe8949_68b4fdd4-d341-4ac5-9dbc-59eb34653dab.spold;sheet rolling, chromium steel;RER;sheet rolling, chromium steel
4e827ce0-297d-42ae-b64a-2e04b36dc57b_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, tropical region;RoW;electricity, high voltage
4e84081d-1d07-4c23-af64-950387c42034_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity, from municipal waste incineration to generic market for electricity, medium voltage;LU;electricity, medium voltage
4e8543a8-d659-4842-9509-eb478d6969c2_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, oil;SE;electricity, high voltage
4e8543a8-d659-4842-9509-eb478d6969c2_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, oil;SE;heat, district or industrial, other than natural gas
4e8c7b0e-c5cb-49c3-8ca4-b6a10f335c9f_2b042e37-55b1-4be4-ad69-66757582b706.spold;sweet sorghum production;CN;sweet sorghum stem
4e93a58e-98f1-46d0-91b7-4ee34d322e66_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of residue from mechanical treatment, industrial device, municipal waste incineration;RoW;heat, for reuse in municipal waste incineration only
4e93a58e-98f1-46d0-91b7-4ee34d322e66_4f312355-ac65-4635-8fb2-006dba64ce60.spold;treatment of residue from mechanical treatment, industrial device, municipal waste incineration;RoW;iron scrap, sorted, pressed
4e93a58e-98f1-46d0-91b7-4ee34d322e66_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of residue from mechanical treatment, industrial device, municipal waste incineration;RoW;electricity, for reuse in municipal waste incineration only
4e93a58e-98f1-46d0-91b7-4ee34d322e66_76690609-bfa8-4e1e-bd15-60d6e4ab9580.spold;treatment of residue from mechanical treatment, industrial device, municipal waste incineration;RoW;residue from mechanical treatment, industrial device
4e9748b2-1c8e-48a7-9265-911e8294383a_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat production, softwood chips from forest, at furnace 300kW, state-of-the-art 2014;RoW;heat, district or industrial, other than natural gas
4e99fd25-484a-4d23-a2a6-1f6fdd092a20_c3da8588-3fab-4ec7-a850-330ed9825e2b.spold;vanilla seedling production, for planting;MG;vanilla seedling, for planting
4e9a9851-3d39-4ee1-be9b-b029571bf0b0_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from IN-Northern grid;IN-Western grid;electricity, high voltage
4e9deb32-6d31-4f70-ad66-cc1e608cedf9_6c365ae3-f8cb-4aff-8709-afea7fbf0a40.spold;market for sowing;GLO;sowing
4e9e8a87-7c44-424c-9913-44c32bba0b19_c5299a8e-d4b4-409c-9826-e8ae9e37c03d.spold;market for cement, Portland;BR;cement, Portland
4ea32d91-4dc9-4087-9843-ac28d4406a49_1a428ad6-fbf4-4606-8396-2dd197d55ba9.spold;hard disk drive production, for laptop computer;GLO;hard disk drive, for laptop computer
4ea3b286-5bbf-44a8-9c7d-4e0acf9f7a69_69b2236c-0085-4805-a883-619fc4188437.spold;market for spent catalyst base from ethyleneoxide production;GLO;spent catalyst base from ethyleneoxide production
4ea91451-698a-42f5-96f6-7fe4cb07daf3_0df0db82-8e1d-4053-8cfc-5019470a86a7.spold;styrene production;RoW;styrene
4eaf4d9a-c077-48cb-a00d-1fdb39ae8096_64258a0a-b069-431d-839f-3e47c1a4d9c4.spold;recultivation, limestone mine;RoW;recultivation, limestone mine
4eb015d9-bbd2-438e-9a96-731f1bea2144_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;market for land tenure, arable land, measured as carbon net primary productivity, perennial crop;ZA;land tenure, arable land, measured as carbon net primary productivity, perennial crop
4eb36d42-6045-47de-a0e7-c5ddc1452dbf_906b050f-69fc-4c54-9069-e8672a669b10.spold;market for lightweight concrete block, pumice;DE;lightweight concrete block, pumice
4eb7afe9-5331-40a7-96ad-ec27077cd67b_76c62dcf-b87a-4509-9682-514079cf7975.spold;market for waste polyvinylchloride product;RoW;waste polyvinylchloride product
4eb7c5a7-fd72-44e2-8e85-2aaef17c4fc4_cee6769c-ac58-45d5-9597-de2569031d74.spold;treatment of waste paint, sanitary landfill;CH;waste paint
4ebeb8d3-d0cc-4083-8aad-2dafd6bcf5f7_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;IN-GJ;electricity, high voltage
4ec7c23c-92c7-46e7-b3f2-75caae2345e1_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;CA-NT;electricity, low voltage
4ec90b5a-cc95-4b58-a167-fb59e0c3445c_8c7dd9ee-4962-4ae3-9c3a-8fb58def93ae.spold;market for nitrobenzene;RoW;nitrobenzene
4eda8dde-3487-4781-be62-66202375b5e7_ea514586-c3d1-430a-bb5e-fe15b8785085.spold;market for mine infrastructure, phosphate rock;GLO;mine infrastructure, phosphate rock
4edccd1a-561a-4c16-8620-85521c086931_2ee9192f-e5d4-5c95-b83d-656a6da4b61d.spold;market for sodium chloroacetate;GLO;sodium chloroacetate
4eeb9e4a-4d98-5213-aa7c-d5d68cf7fd70_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold;land already in use, perennial cropland to pasture, man made;BR-MT;land tenure, arable land, measured as carbon net primary productivity, pasture, man made
4ef1f12b-f87c-4e0d-98c4-a8f35f19f57e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;ID;electricity, high voltage
4ef318a9-910f-44d9-bb6a-cdad3a33a0eb_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, alpine region;IN-BR;electricity, high voltage
4ef566ec-ae27-404a-9bba-50b034b2d775_2f5bfd17-304f-4568-b051-155ed2d2f3b0.spold;market for 4-tert-butyltoluene;RoW;4-tert-butyltoluene
4ef5762c-ffe6-486f-b9e2-3a8861c13d0e_27a3ac7b-e31a-48da-84f5-8dbdcb96e565.spold;market for naphtha;CO;naphtha
4ef9d04f-54a1-4420-b322-d9b4d712c14d_b89dadb0-75e9-44fd-8d41-1ec8dcce23b6.spold;light fuel oil production, petroleum refinery operation;ZA;light fuel oil
4efb6da1-bad8-4ebf-8251-9273918728d7_68e26a5f-ffa6-4222-bce0-c156fe562fe0.spold;market for transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, R134a refrigerant, cooling;GLO;transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, R134a refrigerant, cooling
4efc194f-9d08-4e0d-8edc-cee3ccf67342_10789d56-1623-4564-81ec-e020e1651b3f.spold;ventilation of dwellings, central, 1 x 720 m3/h, steel ducts, with earth tube heat exchanger;RoW;ventilation of dwellings, central, 1 x 720 m3/h
4f0300c2-f451-49cc-a0f8-6038018ba629_ccc1fbd3-3877-43b6-a845-0c2ed8359c29.spold;transport, freight, lorry 3.5-7.5 metric ton, EURO6;RoW;transport, freight, lorry 3.5-7.5 metric ton, EURO6
4f092483-9aeb-4cec-9ce5-2635b95d1e81_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;IT;electricity, high voltage
4f0bb702-f2fd-4053-936e-8190dc9291b2_8db93acf-cb88-4744-8a2f-7812e173e4d0.spold;paint production, for electrostatic painting for aluminium;GLO;electrostatic paint
4f1772de-8d47-4f7b-bca7-87ad5e1ea772_5cb475d3-4cfa-432f-853b-c4b5254dc7e8.spold;uranium production, centrifuge, enriched 4.0%;NL;uranium, enriched 4.0%, per separative work unit
4f1d3d55-86df-44ef-b78b-5270156f3550_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;SERC;electricity, low voltage
4f1da548-f331-4d2c-b956-885ec5abbf67_2bd67269-cd3a-4ca5-adae-0c030d7e76ed.spold;basalt quarry operation;RoW;basalt
